id,fecha,provincia,zona_prov,genero,edad,maximo_estudio,espacio_identificado,posibilidad_votar,opinion_gestion_alberto,opinion_gestion_kicillof,opinion_tolosapaz,opinion_manes,opinion_santilli,posibilidad_voto_tolosapaz,posibilidad_voto_santilli,posibilidad_voto_manes,intencion_voto_2021,intencion_voto_2021_otros,voto_emitido_2019,analisis_temporal,peso
6221,6/9/2021 16:43,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,31,Superior,El peronismo,SEGURAMENTE iré a votar,1,1,2.0,-1.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6222,6/9/2021 16:44,Buenos Aires,Zona Norte conurbano,Hombre,70,Secundario,NINGUNO,SEGURAMENTE iré a votar,-2,-2,-2.0,-1.0,2.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6223,6/9/2021 16:41,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,46,Secundario,NINGUNO,Casi seguro NO IRÉ A VOTAR,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,,Blanco/nulo,sem_2_(09/04-09/10),1
6224,6/9/2021 16:41,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,64,Primario incompleto,El peronismo,SEGURAMENTE iré a votar,2,2,2.0,0.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6225,6/9/2021 16:41,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,60,Secundario,El peronismo,SEGURAMENTE iré a votar,1,1,1.0,1.0,1.0,0.0,0.0,0.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6226,6/9/2021 16:39,Buenos Aires,Zona Oeste conurbano,Hombre,36,Secundario,El peronismo,SEGURAMENTE iré a votar,-2,-2,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,Principios y valores: Guillermo Moreno,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6227,6/9/2021 16:37,Buenos Aires,Zona Norte conurbano,Mujer,55,Secundario,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,2.0,-2.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6228,6/9/2021 16:35,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,51,Secundario,El radicalismo,SEGURAMENTE iré a votar,-2,-2,-2.0,2.0,1.0,-1.0,-1.0,2.0,Juntos: Facundo Manes,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6229,6/9/2021 16:34,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,62,Superior,El radicalismo,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,1.0,-1.0,2.0,-1.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6230,6/9/2021 16:31,Buenos Aires,Zona Sur conurbano,Hombre,59,Primario,El peronismo,SEGURAMENTE iré a votar,1,1,1.0,0.0,1.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6231,6/9/2021 16:32,Buenos Aires,Zona Sur conurbano,Mujer,28,Superior,NINGUNO,SEGURAMENTE iré a votar,-2,-2,-2.0,-1.0,1.0,-1.0,0.0,0.0,Avanza Libertad: José Luis Espert,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6232,6/9/2021 16:28,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,45,Secundario,El radicalismo,Casi seguro NO IRÉ A VOTAR,0,0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,Vamos con Vos: Florencio Randazzo,,Blanco/nulo,sem_2_(09/04-09/10),1
6233,6/9/2021 16:31,Buenos Aires,Zona Norte conurbano,Hombre,64,Superior,El peronismo,SEGURAMENTE iré a votar,1,1,2.0,1.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6234,6/9/2021 16:30,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,44,Superior,NINGUNO,SEGURAMENTE iré a votar,-2,-2,-2.0,-1.0,1.0,-1.0,0.0,-1.0,Juntos: Diego Santilli,,Despertar: José Luis Espert,sem_2_(09/04-09/10),1
6235,6/9/2021 16:30,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,61,Superior,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,2.0,0.0,0.0,0.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Consenso Federal: Roberto Lavagna,sem_2_(09/04-09/10),1
6236,6/9/2021 16:26,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,28,Secundario,NINGUNO,NO ESTO SEGURO de ir a votar,-1,-2,0.0,0.0,0.0,-1.0,-1.0,-1.0,Otros,En blanco,No recuerdo,sem_2_(09/04-09/10),1
6237,6/9/2021 16:25,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,71,Primario,El PRO,SEGURAMENTE iré a votar,-1,-1,0.0,1.0,1.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6238,6/9/2021 16:26,Buenos Aires,Zona Oeste conurbano,Hombre,72,Secundario,El peronismo,SEGURAMENTE iré a votar,-2,-2,-2.0,-1.0,1.0,-1.0,2.0,-1.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
